"OriginalLocationID","LocationID","Datetime","TOTAL PHOSPHORUS DATA  "
"AJ01","AJ01","8/6/79","0.54"
"AJ01","AJ01","12/12/79","0.14"
"AJ01","AJ01","5/13/80","0.08"
"AJ01","AJ01","10/28/80","0.13"
"AJ01","AJ01","2/26/81","0.12"
"AJ02","ABRN01","6/27/79","0.12"
"AJ02","ABRN01","8/6/79","0.33"
"AJ02","ABRN01","12/12/79","0.05"
"AJ02","ABRN01","5/13/80","0.1"
"AJ02","ABRN01","10/28/80","0.1"
"AJ02","ABRN01","2/26/81","0.08"
"AJ02","ABRN01","7/29/81","0.09"
"AJ03","ABR070","6/27/79","0.11"
"AJ03","ABR070","8/6/79","0.08"
"AJ03","ABR070","12/12/79","0.01"
"AJ03","ABR070","5/13/80","0.12"
"AJ03","ABR070","10/28/80","0.18"
"AJ03","ABR070","2/26/81","0.08"
"AJ03","ABR070","7/29/81","0.07"
"AJ04","HAB001","6/27/79","0.08"
"AJ04","HAB001","8/6/79","0.04"
"AJ04","HAB001","12/12/79","0.01"
"AJ04","HAB001","5/13/80","0.14"
"AJ04","HAB001","10/28/80","0.1"
"AJ04","HAB001","2/26/81","0.08"
"AJ04","HAB001","7/29/81","0.07"
"AJ05","ABR049","6/27/79","0.15"
"AJ05","ABR049","8/6/79","0.18"
"AJ05","ABR049","12/12/79","0.07"
"AJ05","ABR049","5/13/80","0.06"
"AJ05","ABR049","10/28/80","0.08"
"AJ05","ABR049","2/26/81","0.08"
"AJ05","ABR049","7/29/81","0.06"
"AJ06","ABR036","6/27/79","0.09"
"AJ06","ABR036","8/6/79","0.12"
"AJ06","ABR036","12/12/79","0.05"
"AJ06","ABR036","5/13/80","0.08"
"AJ06","ABR036","10/28/80","0.1"
"AJ06","ABR036","2/26/81","0.14"
"AJ06","ABR036","7/29/81","0.09"
"AJ07","ABR028","6/27/79","0.14"
"AJ07","ABR028","8/6/79","0.16"
"AJ07","ABR028","12/12/79","0.04"
"AJ07","ABR028","5/13/80","0.24"
"AJ07","ABR028","10/28/80","0.28"
"AJ07","ABR028","2/26/81","0.12"
"AJ07","ABR028","7/29/81","0.09"
