"OriginalLocationID","LocationID","Datetime","MANGANESE DATA"
"AJ01","AJ01","5/13/1980","0.3"
"AJ02","ABRN01","5/13/1980","1"
"AJ03","ABR070","5/13/1980","0.1"
"AJ04","HAB001","5/13/1980","0.14"
"AJ05","ABR049","5/13/1980","0.15"
"AJ06","ABR036","5/13/1980","0.15"
"AJ07","ABR028","5/13/1980","0.35"
"AJ08","ABR017","5/13/1980","0.15"
"AJ10","ABR006","5/13/1980","0.1"
"AJ11","ABR001","5/13/1980","0.07"
"MY10","UPL001","5/13/1980","0.18"
"MY11","MYR071","5/13/1980","0.12"
"MY12","MIB001","5/13/1980","0.15"
"MY13","MWRA070","5/13/1980","0.12"
"MY14","MWRA172","5/13/1980","0.5"
"HB01","HAB0015","5/13/1980","0.8"
"HB02","HAB002","5/13/1980","0.07"
"AJT02","SWBB","5/13/1980","0.2"
"HBT01","HBT01","5/13/1980","0.68"
"HBT02","HBT02","5/13/1980","2.5"
"HBT03","HBT03","5/13/1980","0.7"
"HBT05","HBT05","5/13/1980","2.4"
"HBT06","HBT06","5/13/1980","2.1"
"HBT07","HBT07","5/13/1980","1.1"
"HBT08","HBT08","5/13/1980","2.1"
